Datetime,Open,High,Low,Close,Volume
2026-09-01 01:00:00+00:00,24.600000381469727,25.450000762939453,24.600000381469727,25.450000762939453,0
2026-09-01 01:05:00+00:00,25.39999961853028,25.89999961853028,25.39999961853028,25.799999237060547,18176000
2026-09-01 01:10:00+00:00,25.799999237060547,25.850000381469727,25.299999237060547,25.299999237060547,4909231
2026-09-01 01:15:00+00:00,25.350000381469727,25.450000762939453,25.25,25.450000762939453,1954040
2026-09-01 01:20:00+00:00,25.450000762939453,25.450000762939453,25.25,25.350000381469727,2831139
2026-09-01 01:25:00+00:00,25.299999237060547,25.600000381469727,25.299999237060547,25.549999237060547,3965992
2026-09-01 01:30:00+00:00,25.549999237060547,25.799999237060547,25.5,25.799999237060547,7150060
2026-09-01 01:35:00+00:00,25.799999237060547,25.89999961853028,25.700000762939453,25.75,6917073
2026-09-01 01:40:00+00:00,25.799999237060547,25.89999961853028,25.700000762939453,25.850000381469727,4347954
2026-09-01 01:45:00+00:00,25.89999961853028,26.100000381469727,25.850000381469727,25.950000762939453,10118542
2026-09-01 01:50:00+00:00,25.950000762939453,26.0,25.799999237060547,25.850000381469727,1742594
2026-09-01 01:55:00+00:00,25.89999961853028,25.89999961853028,25.75,25.799999237060547,1404207
2026-09-01 02:00:00+00:00,25.75,25.799999237060547,25.600000381469727,25.64999961853028,1775645
2026-09-01 02:05:00+00:00,25.64999961853028,25.700000762939453,25.549999237060547,25.549999237060547,1104736
2026-09-01 02:10:00+00:00,25.5,25.64999961853028,25.5,25.549999237060547,1474215
2026-09-01 02:15:00+00:00,25.600000381469727,25.600000381469727,25.5,25.5,562108
2026-09-01 02:20:00+00:00,25.5,25.600000381469727,25.5,25.549999237060547,691727
2026-09-01 02:25:00+00:00,25.549999237060547,25.600000381469727,25.5,25.5,607000
2026-09-01 02:30:00+00:00,25.5,25.549999237060547,25.450000762939453,25.450000762939453,600714
2026-09-01 02:35:00+00:00,25.450000762939453,25.549999237060547,25.450000762939453,25.5,735938
2026-09-01 02:40:00+00:00,25.5,25.549999237060547,25.450000762939453,25.5,508572
