date,cash,market_value,equity,daily_return,cumulative_return,benchmark_close,benchmark_equity,benchmark_return,excess_return,drawdown,stale_marks,stale_ratio
2026-08-19,1000000,0.0,1000000.0,0.0,0.0,104.9,1000000.0,0.0,0.0,0.0,,
2026-08-20,1000000,0.0,1000000.0,0.0,0.0,103.1,982840.8,-0.017159,0.017159,0.0,,
2026-08-21,1000000,0.0,1000000.0,0.0,0.0,104.65,997616.78,-0.002383,0.002383,0.0,,
2026-08-25,1000000,0.0,1000000.0,0.0,0.0,104.4,995233.56,-0.004766,0.004766,0.0,,
2026-08-26,1000000,0.0,1000000.0,0.0,0.0,104.4,995233.56,-0.004766,0.004766,0.0,,
2026-08-27,1000000,0.0,1000000.0,0.0,0.0,106.05,1010962.82,0.010963,-0.010963,0.0,,
2026-09-04,1000000,0.0,1000000.0,0.0,0.0,107.9,1028598.67,0.028599,-0.028599,0.0,,
2026-09-07,1000000,0.0,1000000.0,0.0,0.0,109.9,1047664.44,0.047664,-0.047664,0.0,,
2026-09-08,1000000,0.0,1000000.0,0.0,0.0,109.65,1045281.22,0.045281,-0.045281,0.0,,
2026-09-09,1000000,0.0,1000000.0,0.0,0.0,109.65,1045281.22,0.045281,-0.045281,0.0,,
2026-09-10,1000000,0.0,1000000.0,0.0,0.0,109.15,1040514.78,0.040515,-0.040515,0.0,0.0,0.0
2026-09-11,1000000,0.0,1000000.0,0.0,0.0,107.7,1026692.09,0.026692,-0.026692,0.0,0.0,0.0
2026-09-14,1000000,0.0,1000000.0,0.0,0.0,106.9,1019065.78,0.019066,-0.019066,0.0,0.0,0.0
2026-09-15,1000000,0.0,1000000.0,0.0,0.0,106.25,1012869.4,0.012869,-0.012869,0.0,0.0,0.0
